trip_distance,is_weekend,is_holiday,congestion_surcharge_dummy,airport_fee_dummy,duration_sec
1.02,0,0,1,0,382.0
2.17,0,0,1,0,649.0
1.5,0,0,1,0,345.0
15.8,0,0,0,1,1264.0
4.9,0,0,1,0,1010.0
18.44,0,0,1,1,1730.0
10.17,0,0,0,1,1090.0
10.98,0,0,0,1,1021.0
3.12,0,0,1,0,801.0
5.23,0,0,0,1,568.0
4.91,0,0,1,0,620.0
1.67,0,0,1,0,573.0
14.36,0,0,0,1,1315.0
6.5,0,0,1,0,1428.0
2.0,0,0,0,0,729.0
2.25,0,0,1,0,718.0
12.9,0,0,0,0,1182.0
12.41,0,0,0,1,2069.0
1.36,0,0,1,0,353.0
2.47,0,0,1,0,746.0
2.58,0,0,1,0,580.0
1.47,0,0,1,0,456.0
5.4,0,0,0,1,675.0
6.6,0,0,1,0,1061.0
1.23,0,0,1,0,847.0
10.41,0,0,1,1,1487.0
1.59,0,0,1,0,285.0
1.04,0,0,1,0,490.0
3.45,0,0,1,0,868.0
1.57,0,0,1,0,508.0
2.5,0,0,1,0,601.0
3.41,0,0,1,0,1003.0
1.31,0,0,1,0,524.0
18.7,0,0,0,1,2117.0
5.15,0,0,1,0,1033.0
0.8,0,0,1,0,198.0
1.6,0,0,1,0,359.0
2.7,0,0,1,0,821.0
0.75,0,0,1,0,159.0
3.49,0,0,1,0,843.0
10.57,0,0,0,1,1463.0
2.0,0,0,1,0,436.0
7.38,0,0,1,0,1031.0
17.8,0,0,0,1,1617.0
5.78,0,0,1,0,1410.0
1.3,0,0,1,0,431.0
1.6,0,0,1,0,322.0
1.62,0,0,1,0,563.0
0.96,0,0,1,0,393.0
2.1,0,0,1,0,492.0
2.2,0,0,1,0,551.0
2.01,0,0,1,0,531.0
3.84,0,0,1,0,775.0
3.31,0,0,0,1,380.0
17.72,0,0,1,1,1654.0
7.7,0,0,0,1,1100.0
0.84,0,0,1,0,291.0
5.54,0,0,0,1,919.0
1.5,0,0,1,0,355.0
3.06,0,0,1,0,513.0
1.1,0,0,1,0,489.0
7.05,0,0,0,1,927.0
12.43,0,0,0,1,2624.0
1.41,0,0,1,0,390.0
3.48,0,0,1,0,869.0
1.73,0,0,1,0,367.0
1.64,0,0,1,0,657.0
8.21,0,0,1,1,1051.0
17.14,0,0,0,1,1481.0
1.91,0,0,1,0,441.0
0.7,0,0,1,0,159.0
5.74,0,0,1,0,1709.0
1.69,0,0,1,0,489.0
0.55,0,0,1,0,268.0
10.32,0,0,1,1,1453.0
2.0,0,0,1,0,624.0
0.96,0,0,1,0,319.0
2.85,0,0,1,0,703.0
0.4,0,0,1,0,174.0
2.81,0,0,1,0,624.0
1.43,0,0,1,0,430.0
0.93,0,0,1,0,373.0
6.83,0,0,0,0,782.0
1.88,0,0,1,0,622.0
7.7,0,0,1,1,735.0
1.87,0,0,1,0,428.0
38.5,0,0,0,1,2987.0
2.73,0,0,1,0,626.0
23.4,0,0,0,1,3556.0
4.7,0,0,0,1,656.0
2.57,0,0,1,0,743.0
1.53,0,0,1,0,524.0
2.2,0,0,1,0,506.0
12.78,0,0,0,1,1433.0
6.4,0,0,1,0,866.0
1.83,0,0,1,0,595.0
0.8,0,0,0,0,216.0
9.8,0,0,0,1,1062.0
2.28,0,0,1,0,657.0
11.13,0,0,1,1,1892.0
3.0,0,0,1,0,508.0
1.69,0,0,0,0,729.0
2.0,0,0,1,0,722.0
18.53,0,0,1,1,1975.0
15.49,0,0,0,1,2047.0
1.48,0,0,1,0,657.0
13.93,0,0,0,1,1550.0
11.9,0,0,0,1,1615.0
8.53,0,0,1,1,1177.0
18.2,0,0,1,1,1883.0
12.72,0,0,1,0,1727.0
1.15,0,0,1,0,316.0
1.7,0,0,1,0,455.0
2.3,0,0,1,0,560.0
4.5,0,0,1,0,1920.0
2.08,0,0,1,0,790.0
1.24,0,0,1,0,337.0
3.0,0,0,0,0,1096.0
16.15,0,0,0,1,2734.0
3.84,0,0,1,0,917.0
14.18,0,0,0,1,1372.0
6.97,0,0,0,1,1097.0
1.91,0,0,1,0,317.0
6.5,0,0,1,0,854.0
7.65,0,0,0,1,960.0
20.22,0,0,0,1,1861.0
1.4,0,0,1,0,615.0
2.13,0,0,1,0,477.0
3.36,0,0,1,0,948.0
1.39,0,0,1,0,561.0
0.97,0,0,1,0,324.0
17.4,0,0,0,1,1854.0
10.71,0,0,1,1,1315.0
8.83,0,0,1,0,1924.0
4.8,0,0,0,1,617.0
9.73,0,0,1,1,1169.0
6.16,0,0,1,0,1634.0
0.4,0,0,1,0,257.0
15.9,0,0,0,1,1642.0
1.7,0,0,1,0,515.0
20.3,0,0,0,1,2217.0
1.37,0,0,1,0,368.0
4.2,0,0,0,1,669.0
3.25,0,0,0,0,487.0
1.68,0,0,1,0,657.0
11.12,0,0,0,1,1957.0
17.22,0,0,1,1,1596.0
0.73,0,0,1,0,242.0
2.6,0,0,1,0,723.0
0.6,0,0,1,0,522.0
19.4,0,0,1,1,2102.0
1.9,0,0,1,0,563.0
1.37,0,0,1,0,357.0
1.07,0,0,1,0,372.0
